seed_id,nid,news_id,category,summary,variant,headline,clickbait_penalty,faithfulness,clarity,specificity,attractiveness,non_clickbait,overall,rationale,ranking,best_variant,worst_variant,judge_model,judge_error,nid_existing,news_id_existing,category_existing,summary_existing,headline_existing,clickbait_penalty_existing
4,50407,N13403,sports,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",zero_shot,Seattle Seahawks Defeat Unbeaten 49ers in a Thrilling Comeback Victory,0.00010405485,5.0,5.0,5.0,4.0,5.0,5.0,"Clear and direct, encapsulates the main event well without exaggeration.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,50407.0,N13403,sports,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",Seattle Seahawks Defeat Unbeaten 49ers in a Thrilling Comeback Victory,0.00010405485
4,50407,N13403,sports,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",optimized,Seattle Seahawks Defeat Unbeaten 49ers in a Thrilling Comeback Victory,0.00010405485,5.0,5.0,5.0,4.0,5.0,5.0,"Identical to zero_shot, maintains clarity and accuracy, effectively conveys the event.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,50407.0,N13403,sports,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",Seattle Seahawks Defeat Unbeaten 49ers in a Thrilling Comeback Victory,0.00010405485
5,42378,N7244,sports,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,original,Depth charts: Projected starters for Iowa State vs. No. 23 Texas,0.00015676561,5.0,5.0,5.0,4.0,5.0,5.0,Clearly presents the content of the game with details on teams and context.,"[""original"", ""zero_shot"", ""optimized""]",original,zero_shot,gpt-4o-mini,,42378.0,N7244,sports,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,Depth charts: Projected starters for Iowa State vs. No. 23 Texas,0.00015676561
5,42378,N7244,sports,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,zero_shot,Cyclones and Longhorns Announce Starters for 2019 Big 12 Matchup,9.932392e-05,5.0,5.0,5.0,4.0,5.0,5.0,"Accurate and clear announcement of starters, maintaining the essential details.","[""original"", ""zero_shot"", ""optimized""]",original,zero_shot,gpt-4o-mini,,42378.0,N7244,sports,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,Cyclones and Longhorns Announce Starters for 2019 Big 12 Matchup,9.932392e-05
5,42378,N7244,sports,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,optimized,Cyclones and Longhorns Announce Starters for 2019 Big 12 Matchup,9.932392e-05,5.0,5.0,5.0,4.0,5.0,5.0,"Identical to the zero_shot variant, maintaining the same quality.","[""original"", ""zero_shot"", ""optimized""]",original,zero_shot,gpt-4o-mini,,42378.0,N7244,sports,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,Cyclones and Longhorns Announce Starters for 2019 Big 12 Matchup,9.932392e-05
6,63352,N1369,health,A local airman returned home to the Miami Valley on Friday and was greeted by dozens of family and friends.,original,Local Airman returns from 6 Months in Afghanistan,8.4165134e-05,5,5,4,4,5,4,"Accurate and clear, but lacks mention of family and friends.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
6,63352,N1369,health,A local airman returned home to the Miami Valley on Friday and was greeted by dozens of family and friends.,zero_shot,Local airman returns home to Miami Valley to warm welcome from family and friends,9.939583e-05,5,5,5,5,5,5,Comprehensive and engaging while covering all essential details.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
6,63352,N1369,health,A local airman returned home to the Miami Valley on Friday and was greeted by dozens of family and friends.,optimized,Local airman returns home to Miami Valley to warm welcome from family and friends,9.939583e-05,5,5,5,5,5,5,Identical to zero_shot; equally effective.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
7,29280,N3913,news,"Students at Hartford's new Weaver campus are working to erase stark lines dividing the building's two school communities, the public school drawing students from the neighborhoods and the magnet arts school that mostly serves the suburbs. Working with staff and administrators, they're trying to counteract some of the unintended consequences of relocating and reorganizing three high schools ...",original,"Hartford's Weaver forging a new identity at campus shared by public, magnet students",0.00013871084,5,5,4,4,5,4,Accurately reflects the efforts of students and schools but could specify the identities of the communities.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
7,29280,N3913,news,"Students at Hartford's new Weaver campus are working to erase stark lines dividing the building's two school communities, the public school drawing students from the neighborhoods and the magnet arts school that mostly serves the suburbs. Working with staff and administrators, they're trying to counteract some of the unintended consequences of relocating and reorganizing three high schools ...",zero_shot,Students at Hartford's Weaver campus aim to unite two school communities,0.0004026209,5,5,4,5,5,5,Clearly conveys the main focus and is compelling without being misleading.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
7,29280,N3913,news,"Students at Hartford's new Weaver campus are working to erase stark lines dividing the building's two school communities, the public school drawing students from the neighborhoods and the magnet arts school that mostly serves the suburbs. Working with staff and administrators, they're trying to counteract some of the unintended consequences of relocating and reorganizing three high schools ...",optimized,Students at Hartford's Weaver campus aim to unite two school communities,0.0004026209,5,5,4,5,5,5,"Identical to zero_shot, maintaining strong clarity and appeal.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
8,13158,N36369,sports,"Considering that Domingue is slated to be an unrestricted free agent this summer, finding an opportunity to play regularly (even if it isn't necessarily at the NHL level to start with) would be ideal.",original,Louis Domingue changes agents amid attempt to play at NHL level again,7.8780766e-05,4,4,3,3,4,3,"While it mentions Domingue's agent change, it doesn't emphasize the need for regular playing opportunities.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
8,13158,N36369,sports,"Considering that Domingue is slated to be an unrestricted free agent this summer, finding an opportunity to play regularly (even if it isn't necessarily at the NHL level to start with) would be ideal.",zero_shot,Domingue Seeks Regular Playing Opportunity Ahead of Free Agency,0.00010380648,5,5,4,4,5,5,Accurately communicates the intent and context without unnecessary detail or exaggeration.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
8,13158,N36369,sports,"Considering that Domingue is slated to be an unrestricted free agent this summer, finding an opportunity to play regularly (even if it isn't necessarily at the NHL level to start with) would be ideal.",optimized,Domingue Seeks Regular Playing Opportunity Ahead of Free Agency,0.00010380648,5,5,4,4,5,5,"Identical to zero_shot, effectively communicates the key points in a straightforward manner.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
9,5749,N61058,news,A driver was fatally shot in St. Paul on Sunday night and police are searching for the person responsible.,original,Driver dies after being shot in St. Paul's Summit-U area,7.788181e-05,5,5,4,4,5,4,Clearly states the incident with location specifics but slightly less engaging.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
9,5749,N61058,news,A driver was fatally shot in St. Paul on Sunday night and police are searching for the person responsible.,zero_shot,"Driver Fatally Shot in St. Paul, Police Investigate Incident",7.7094264e-05,5,5,4,5,5,5,Directly conveys seriousness of the incident and police action.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
9,5749,N61058,news,A driver was fatally shot in St. Paul on Sunday night and police are searching for the person responsible.,optimized,"Driver Fatally Shot in St. Paul, Police Investigate Incident",7.7094264e-05,5,5,4,5,5,5,Matches zero_shot and maintains clarity and engagement.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
10,37719,N1117,sports,The playoffs begin next week across Oklahoma. Here is a complete list of the first-round playoff pairings for each class. Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owasso Tulsa Union at Broken Arrow Class 6A-II Sapulpa at Stillwater Choctaw at Muskogee Midwest City at Bixby Tulsa Washington at Del City Class 5A Woodward at Noble Tulsa Kelley at Collinsville Pryor ...,original,High school football: First-round playoff pairings,0.0001209557,5,5,3,3,5,4,Accurately describes the content but lacks details on location and teams.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
10,37719,N1117,sports,The playoffs begin next week across Oklahoma. Here is a complete list of the first-round playoff pairings for each class. Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owasso Tulsa Union at Broken Arrow Class 6A-II Sapulpa at Stillwater Choctaw at Muskogee Midwest City at Bixby Tulsa Washington at Del City Class 5A Woodward at Noble Tulsa Kelley at Collinsville Pryor ...,zero_shot,Oklahoma Playoffs Begin Next Week with First-Round Pairings Announced,7.280586e-05,5,5,5,4,5,5,Captures the essence and adds clarity with specific reference to Oklahoma.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
10,37719,N1117,sports,The playoffs begin next week across Oklahoma. Here is a complete list of the first-round playoff pairings for each class. Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owasso Tulsa Union at Broken Arrow Class 6A-II Sapulpa at Stillwater Choctaw at Muskogee Midwest City at Bixby Tulsa Washington at Del City Class 5A Woodward at Noble Tulsa Kelley at Collinsville Pryor ...,optimized,Oklahoma Playoffs Begin Next Week with First-Round Pairings Announced,7.280586e-05,5,5,5,4,5,5,"Identical to zero_shot, effectively conveys information with specificity.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
11,8696,N50539,lifestyle,"It's a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King of Pop.",original,50+ Amazing Things That Happened in the '50s,0.99997616,1,1,2,2,1,1,The headline is unrelated to the summary.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
11,8696,N50539,lifestyle,"It's a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King of Pop.",zero_shot,"Decade Features Multiple Princesses, New Queen, King, and Future King of Pop",0.6378787,5,5,5,4,5,5,"Directly reflects the summary, clear and specific.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
11,8696,N50539,lifestyle,"It's a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King of Pop.",optimized,"Decade Includes Several Princesses, New Queen, and Future King of Pop",0.3972318768501282,5,5,4,4,5,4,Accurate and clear but slightly less specific.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
12,41048,N38458,sports,"When Monday's game against the Mavericks was tied at 86-86, one of the five Celtics on the floor wasn't even on an NBA roster last year. Now, that might not be surprising if the Celtics were floundering, but they're not. They're doing just the opposite. Now, there is an opportunity for others to contribute as a result of Gordon Hayward's injury. Even with that being the case, Javonte Green wasn't told by Brad Stevens he might see minutes in a...",original,Javonte Green didn't expect to play as much as he did vs. Mavericks,0.86899936,4,4,3,3,5,4,It captures Green's surprise but lacks context about his impact and the situation.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
12,41048,N38458,sports,"When Monday's game against the Mavericks was tied at 86-86, one of the five Celtics on the floor wasn't even on an NBA roster last year. Now, that might not be surprising if the Celtics were floundering, but they're not. They're doing just the opposite. Now, there is an opportunity for others to contribute as a result of Gordon Hayward's injury. Even with that being the case, Javonte Green wasn't told by Brad Stevens he might see minutes in a...",zero_shot,Celtics' Javonte Green steps up during close game after Hayward's injury,9.958349e-05,5,5,4,4,5,5,Clearly states Green's contribution during a significant moment following Hayward's injury.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
12,41048,N38458,sports,"When Monday's game against the Mavericks was tied at 86-86, one of the five Celtics on the floor wasn't even on an NBA roster last year. Now, that might not be surprising if the Celtics were floundering, but they're not. They're doing just the opposite. Now, there is an opportunity for others to contribute as a result of Gordon Hayward's injury. Even with that being the case, Javonte Green wasn't told by Brad Stevens he might see minutes in a...",optimized,Celtics' Javonte Green steps up during close game after Hayward's injury,9.958349e-05,5,5,4,4,5,5,"Same as zero_shot, effectively highlights Green's role in a pivotal moment.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
13,55398,N31239,travel,Game wardens are investigating a fatal crash involving an all-terrain passenger vehicle in a small town west of Belfast. The wardens say the crash killed 30-year-old Rachel Curtis of Montville in her hometown on Sunday. They say Curtis was a passenger on an ATV that was traveling on a dirt road when it crashed before noon. The warden service says it is working with the district attorney's office to determine if the driver of the ATV will be...,original,Charges possible after woman dies in ATV crash,8.0252066e-05,3,4,2,3,4,3,The headline mentions possible charges but lacks details about the victim and location.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
13,55398,N31239,travel,Game wardens are investigating a fatal crash involving an all-terrain passenger vehicle in a small town west of Belfast. The wardens say the crash killed 30-year-old Rachel Curtis of Montville in her hometown on Sunday. They say Curtis was a passenger on an ATV that was traveling on a dirt road when it crashed before noon. The warden service says it is working with the district attorney's office to determine if the driver of the ATV will be...,zero_shot,"Game wardens investigate fatal ATV crash in Montville, killing 30-year-old Rachel Curtis",0.000109494584,5,5,5,4,5,5,"This headline provides clear, specific information about the incident and the victim.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
13,55398,N31239,travel,Game wardens are investigating a fatal crash involving an all-terrain passenger vehicle in a small town west of Belfast. The wardens say the crash killed 30-year-old Rachel Curtis of Montville in her hometown on Sunday. They say Curtis was a passenger on an ATV that was traveling on a dirt road when it crashed before noon. The warden service says it is working with the district attorney's office to determine if the driver of the ATV will be...,optimized,"Game wardens investigate fatal ATV crash in Montville, killing 30-year-old Rachel Curtis",0.000109494584,5,5,5,4,5,5,This headline is identical to the zero_shot variant and maintains its clarity and specificity.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
14,5962,N6385,finance,Critics say Procter & Gamble contributes to deforestation and should use recycled materials for paper products,original,Environmentalists' new target? Charmin toilet paper,7.264649e-05,3,4,3,3,4,3,The headline is catchy but lacks specificity about the claims against Procter & Gamble.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
14,5962,N6385,finance,Critics say Procter & Gamble contributes to deforestation and should use recycled materials for paper products,zero_shot,Critics urge Procter & Gamble to address deforestation and use recycled materials,0.00012256,5,5,5,4,5,5,This headline accurately represents the critics' views and is clear and specific.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
14,5962,N6385,finance,Critics say Procter & Gamble contributes to deforestation and should use recycled materials for paper products,optimized,Critics urge Procter & Gamble to address deforestation and use recycled materials,0.00012256,5,5,5,4,5,5,"Identical to zero_shot, it succinctly presents the criticism and suggests actionable points.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
15,52250,N35503,news,Plant officials told workers during early shifts less than 12 hours after a proposed tentative contract agreement was announced publicly.,original,"Ford-UAW deal includes closing Romeo Engine Plant, moving 600 jobs",6.76546e-05,5,5,5,4,5,5,"Directly addresses the content of the news, including specific details.","[""original"", ""zero_shot"", ""optimized""]",original,optimized,gpt-4o-mini,,,,,,,
15,52250,N35503,news,Plant officials told workers during early shifts less than 12 hours after a proposed tentative contract agreement was announced publicly.,zero_shot,Plant Officials Inform Workers of Tentative Contract Agreement Less Than 12 Hours Later,7.226991e-05,3,4,2,3,4,3,Focuses on notification timing but lacks detail about the contract's impact.,"[""original"", ""zero_shot"", ""optimized""]",original,optimized,gpt-4o-mini,,,,,,,
15,52250,N35503,news,Plant officials told workers during early shifts less than 12 hours after a proposed tentative contract agreement was announced publicly.,optimized,Plant Officials Inform Workers of Tentative Contract Agreement Less Than 12 Hours Later,7.226991e-05,3,4,2,3,4,3,Similar to zero_shot; maintains clarity but is lacking in specifics.,"[""original"", ""zero_shot"", ""optimized""]",original,optimized,gpt-4o-mini,,,,,,,
16,9698,N59081,travel,": CELEBS AND KID PARTIESTampa Theatre is shaking up its annual Halloween film festival Nightmare on Franklin Street with two live shows. Catch the popular horror-comedy podcast The Last Podcast on the Left at 8 p.m. Friday. $34.50-$44.50. And Barry Bostwick, the star of The Rocky Horror Picture Show, will give a talk before a screening of the cult classic at 7 p.m. and midnight ...",original,Top things to do in Tampa Bay this weekend: Oct. 18-20,0.9996277,2,4,2,3,4,3,Vague and does not mention specific events or guests.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
16,9698,N59081,travel,": CELEBS AND KID PARTIESTampa Theatre is shaking up its annual Halloween film festival Nightmare on Franklin Street with two live shows. Catch the popular horror-comedy podcast The Last Podcast on the Left at 8 p.m. Friday. $34.50-$44.50. And Barry Bostwick, the star of The Rocky Horror Picture Show, will give a talk before a screening of the cult classic at 7 p.m. and midnight ...",zero_shot,Tampa Theatre Hosts Halloween Film Festival with Live Shows and Talks,9.6256495e-05,5,5,5,4,5,5,"Accurately reflects the event details, clear and engaging.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
16,9698,N59081,travel,": CELEBS AND KID PARTIESTampa Theatre is shaking up its annual Halloween film festival Nightmare on Franklin Street with two live shows. Catch the popular horror-comedy podcast The Last Podcast on the Left at 8 p.m. Friday. $34.50-$44.50. And Barry Bostwick, the star of The Rocky Horror Picture Show, will give a talk before a screening of the cult classic at 7 p.m. and midnight ...",optimized,Tampa Theatre Hosts Halloween Film Festival with Live Shows and Talks,9.6256495e-05,5,5,5,4,5,5,"Same as zero_shot, effectively captures key details.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
17,14125,N37428,news,State officials including Republican Gov. Greg Abbott have targeted Austin's left-leaning policies toward homelessness as encampments have grown more prevalent in Texas' capital city.,original,"Homeless Become More Visible in Austin, Sparking Political Clash",8.295391e-05,4,4,3,3,4,3,The headline addresses the issue but lacks specific mention of the political responses and the officials involved.,"[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
17,14125,N37428,news,State officials including Republican Gov. Greg Abbott have targeted Austin's left-leaning policies toward homelessness as encampments have grown more prevalent in Texas' capital city.,zero_shot,"Texas Officials, Including Gov. Abbott, Criticize Austin's Homelessness Policies",8.792506e-05,5,5,5,4,5,5,"Clearly states the officials involved and their criticism, fulfilling all criteria well.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
17,14125,N37428,news,State officials including Republican Gov. Greg Abbott have targeted Austin's left-leaning policies toward homelessness as encampments have grown more prevalent in Texas' capital city.,optimized,"Texas Officials, Including Gov. Abbott, Criticize Austin's Homelessness Policies",8.792506e-05,5,5,5,4,5,5,"Identical to zero_shot, maintaining high standards across all scoring metrics.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
18,64779,N9321,news,"President Donald Trump was at Walter Reed National Medical Center on Saturday for what the White House said were medical tests as part of his annual physical. The appointment wasn't on his weekend public schedule that was released Friday night, and his last physical was in February. Press secretary Stephanie Grisham said the 73-year-old Trump was ``anticipating a very busy 2020'' and wanted to take advantage of ``a free...",original,White House: Trump having tests as part of medical checkup,0.000117346244,5,5,4,3,5,4,"Accurate and straightforward, but slightly less specific about the details of the context.","[""zero_shot"", ""optimized"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
