seed_id,category,summary,best_variant,worst_variant,original_headline,original_rationale,original_clickbait_penalty,original_faithfulness,original_clarity,original_specificity,original_attractiveness,original_non_clickbait,original_overall,zero_shot_headline,zero_shot_rationale,zero_shot_clickbait_penalty,zero_shot_faithfulness,zero_shot_clarity,zero_shot_specificity,zero_shot_attractiveness,zero_shot_non_clickbait,zero_shot_overall,optimized_headline,optimized_rationale,optimized_clickbait_penalty,optimized_faithfulness,optimized_clarity,optimized_specificity,optimized_attractiveness,optimized_non_clickbait,optimized_overall,agentic_selected_headline,agentic_selected_rationale,agentic_selected_clickbait_penalty,agentic_selected_faithfulness,agentic_selected_clarity,agentic_selected_specificity,agentic_selected_attractiveness,agentic_selected_non_clickbait,agentic_selected_overall,zero_shot_local_final_score,zero_shot_local_quality_reward,zero_shot_local_pairwise_reward,zero_shot_local_pred_faithfulness,zero_shot_local_pred_clarity,zero_shot_local_pred_specificity,zero_shot_local_pred_overall,optimized_local_final_score,optimized_local_quality_reward,optimized_local_pairwise_reward,optimized_local_pred_faithfulness,optimized_local_pred_clarity,optimized_local_pred_specificity,optimized_local_pred_overall,agentic_selected_local_final_score,agentic_selected_local_quality_reward,agentic_selected_local_pairwise_reward,agentic_selected_local_pred_faithfulness,agentic_selected_local_pred_clarity,agentic_selected_local_pred_specificity,agentic_selected_local_pred_overall,agentic_vs_zero_overall_delta,agentic_vs_optimized_overall_delta,agentic_vs_zero_faithfulness_delta,agentic_vs_zero_clarity_delta,agentic_vs_zero_specificity_delta,agentic_vs_zero_attractiveness_delta,agentic_vs_zero_non_clickbait_delta,agentic_vs_zero_local_delta,agentic_vs_optimized_local_delta,case_type,agentic_loss_dimensions_vs_zero
11,lifestyle,"It's a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King of Pop.",zero_shot,original,50+ Amazing Things That Happened in the '50s,Does not relate to the summary and confuses the decade with unrelated content.,0.99997723,1,1,1,1,1,1,"Decade Features Multiple Princesses, New Queen, King, and Future King of Pop",Clearly describes the main elements of the summary with specific details.,0.002337608,5,5,5,4,5,5,"Decade Includes Several Princesses, New Queen, and Future King of Pop",Accurately conveys the content of the summary using clear language.,0.0012045939,5,5,5,4,5,5,Meet the New Queen and Future King of Pop This Decade,Focuses on engaging elements but less specific about multiple princesses.,0.99996614,4,5,4,5,5,4,6.5673823,4.682229,1.0308505,4.8420553,4.877178,4.6663065,4.738538,6.5307384,4.660137,1.008254,4.832629,4.874334,4.619362,4.7073746,5.6619263,4.4466276,0.82202727,4.64983,4.7875266,4.215491,4.378809,-1,-1,-1,0,-1,1,0,-0.905456,-0.8688120999999995,zero_shot_beats_agentic,"faithfulness, specificity"
12,sports,"When Monday's game against the Mavericks was tied at 86-86, one of the five Celtics on the floor wasn't even on an NBA roster last year. Now, that might not be surprising if the Celtics were floundering, but they're not. They're doing just the opposite. Now, there is an opportunity for others to contribute as a result of Gordon Hayward's injury. Even with that being the case, Javonte Green wasn't told by Brad Stevens he might see minutes in a...",zero_shot,original,Javonte Green didn't expect to play as much as he did vs. Mavericks,"The headline captures Javonte Green's unexpected contribution, though lacks details on the game context.",0.48741767,4,4,4,3,5,4,Celtics' Javonte Green steps up during close game after Hayward's injury,"This headline is detailed, clear, and accurately presents Green's contributions in context of the game and Hayward's injury.",0.000115679395,5,5,5,4,5,5,Celtics' Javonte Green steps up during close game after Hayward's injury,Identical to zero_shot; it effectively conveys the key points while maintaining clarity.,0.000115679395,5,5,5,4,5,5,Javonte Green Contributes as Celtics Thrive Without Gordon Hayward,"The headline conveys a positive spin on Green's contribution, though it's less specific about the game's context.",7.802297e-05,5,5,4,4,5,4,5.717996,4.2753663,0.26856154,4.5111322,4.695771,3.9509983,4.187411,5.717996,4.2753663,0.26856154,4.5111322,4.695771,3.9509983,4.187411,6.0788207,4.474311,0.49199218,4.6978617,4.7923803,4.2837276,4.4876575,-1,-1,0,0,-1,0,0,0.36082469999999933,0.36082469999999933,local_reward_overestimates_agentic,specificity
13,travel,Game wardens are investigating a fatal crash involving an all-terrain passenger vehicle in a small town west of Belfast. The wardens say the crash killed 30-year-old Rachel Curtis of Montville in her hometown on Sunday. They say Curtis was a passenger on an ATV that was traveling on a dirt road when it crashed before noon. The warden service says it is working with the district attorney's office to determine if the driver of the ATV will be...,zero_shot,agentic_selected,Charges possible after woman dies in ATV crash,The headline is clear and engaging but lacks detail on the location and victim's name.,8.957738e-05,4,5,3,4,5,4,"Game wardens investigate fatal ATV crash in Montville, killing 30-year-old Rachel Curtis","This headline includes all relevant details and is engaging, making it the strongest option.",0.00010517573,5,5,5,5,5,5,"Game wardens investigate fatal ATV crash in Montville, killing 30-year-old Rachel Curtis","Identical to zero_shot, it captures essential details attractively and clearly.",0.00010517573,5,5,5,5,5,5,Game Wardens Investigate Fatal ATV Crash Near Belfast,The headline lacks specifics about the victim and town but is still clear and not misleading.,6.947412e-05,4,4,3,4,5,4,6.6271944,4.720525,1.0475426,4.8718805,4.8740177,4.7483654,4.8170466,6.6271944,4.720525,1.0475426,4.8718805,4.8740177,4.7483654,4.8170466,6.600581,4.713587,1.0005205,4.8722253,4.87965,4.7301464,4.8076663,-1,-1,-1,-1,-2,-1,0,-0.026613399999999565,-0.026613399999999565,zero_shot_beats_agentic,"faithfulness, clarity, specificity, attractiveness"
14,finance,Critics say Procter & Gamble contributes to deforestation and should use recycled materials for paper products,zero_shot,original,Environmentalists' new target? Charmin toilet paper,"While it captures interest, it doesn't mention the specific criticisms.",6.3036845e-05,3,4,2,3,4,3,Critics urge Procter & Gamble to address deforestation and use recycled materials,"Accurate, clear, specific, and non-clickbait.",0.0003393238,5,5,5,4,5,5,Critics urge Procter & Gamble to address deforestation and use recycled materials,Same as zero_shot; clear and detailed.,0.0003393238,5,5,5,4,5,5,Procter & Gamble Criticized for Deforestation and Paper Product Sourcing,Offers a solid summary but lacks engagement compared to zero_shot.,0.000100612255,4,4,4,3,5,4,6.616434,4.707067,1.0651855,4.8579364,4.879862,4.725152,4.7936535,6.616434,4.707067,1.0651855,4.8579364,4.879862,4.725152,4.7936535,6.559323,4.6852036,0.9843832,4.8534775,4.8753405,4.6857705,4.7698984,-1,-1,-1,-1,-1,-1,0,-0.05711099999999991,-0.05711099999999991,zero_shot_beats_agentic,"faithfulness, clarity, specificity, attractiveness"
15,news,Plant officials told workers during early shifts less than 12 hours after a proposed tentative contract agreement was announced publicly.,original,agentic_selected,"Ford-UAW deal includes closing Romeo Engine Plant, moving 600 jobs",Accurately reflects details from the summary.,5.964781e-05,5,5,5,4,5,5,Plant Officials Inform Workers of Tentative Contract Agreement Less Than 12 Hours Later,Conveys key information but lacks specifics on implications.,8.371322e-05,4,5,4,3,5,4,Plant Officials Inform Workers of Tentative Contract Agreement Less Than 12 Hours Later,Same as zero_shot; lacks depth and specifics.,8.371322e-05,4,5,4,3,5,4,Plant Officials Inform Workers of Contract Agreement within 12 Hours,Less specific; omits crucial details about the contract.,8.200507e-05,4,5,3,3,5,4,6.5798373,4.711038,0.9535592,4.8667674,4.875832,4.738467,4.802994,6.5798373,4.711038,0.9535592,4.8667674,4.875832,4.738467,4.802994,6.5690904,4.7103834,0.9318446,4.8661146,4.8774843,4.7311954,4.801433,0,0,0,0,-1,0,0,-0.010746900000000004,-0.010746900000000004,tie_or_mixed,specificity
16,travel,": CELEBS AND KID PARTIESTampa Theatre is shaking up its annual Halloween film festival Nightmare on Franklin Street with two live shows. Catch the popular horror-comedy podcast The Last Podcast on the Left at 8 p.m. Friday. $34.50-$44.50. And Barry Bostwick, the star of The Rocky Horror Picture Show, will give a talk before a screening of the cult classic at 7 p.m. and midnight ...",agentic_selected,original,Top things to do in Tampa Bay this weekend: Oct. 18-20,Doesn't directly reference the specific events or guests.,0.99991024,2,4,2,3,4,3,Tampa Theatre Hosts Halloween Film Festival with Live Shows and Talks,Accurately captures the essence of the event but lacks specific details.,0.00013053334,4,5,3,4,5,4,Tampa Theatre Hosts Halloween Film Festival with Live Shows and Talks,Same as 'zero_shot'; effectively communicates the event.,0.00013053334,4,5,3,4,5,4,Halloween Film Festival at Tampa Theatre Includes Live Podcast and Rocky Horror Talk,"Most comprehensive and engaging, including key details about the events.",0.0001580825,5,5,5,5,5,5,6.5654583,4.7097425,0.92228675,4.8726864,4.878105,4.7250147,4.804549,6.5654583,4.7097425,0.92228675,4.8726864,4.878105,4.7250147,4.804549,6.6260953,4.7122736,1.0613705,4.8746696,4.8772144,4.737503,4.8056087,1,1,1,0,2,1,0,0.06063699999999983,0.06063699999999983,agentic_beats_zero_shot,
17,news,State officials including Republican Gov. Greg Abbott have targeted Austin's left-leaning policies toward homelessness as encampments have grown more prevalent in Texas' capital city.,zero_shot,original,"Homeless Become More Visible in Austin, Sparking Political Clash",Highlights the issue but lacks specifics on political actions.,0.00011034349,4,4,3,3,4,3,"Texas Officials, Including Gov. Abbott, Criticize Austin's Homelessness Policies",Accurately reflects the summary with clear details.,0.00015072916,5,5,4,4,5,5,"Texas Officials, Including Gov. Abbott, Criticize Austin's Homelessness Policies",Same as zero_shot; effectively conveys the key facts.,0.00015072916,5,5,4,4,5,5,Gov. Greg Abbott and State Officials Address Growing Homeless Encampments in Austin,"Strong focus on specific people and issues, accurately represents the summary.",0.00011856933,5,4,5,4,5,5,6.586177,4.708072,0.9834556,4.863575,4.881174,4.7241697,4.7982917,6.586177,4.708072,0.9834556,4.863575,4.881174,4.7241697,4.7982917,6.5859966,4.7137117,0.9586054,4.8706903,4.8797646,4.7427063,4.806328,0,0,0,-1,1,0,0,-0.00018040000000052459,-0.00018040000000052459,tie_or_mixed,clarity
18,news,"President Donald Trump was at Walter Reed National Medical Center on Saturday for what the White House said were medical tests as part of his annual physical. The appointment wasn't on his weekend public schedule that was released Friday night, and his last physical was in February. Press secretary Stephanie Grisham said the 73-year-old Trump was ``anticipating a very busy 2020'' and wanted to take advantage of ``a free...",zero_shot,original,White House: Trump having tests as part of medical checkup,Accurately reflects the event but lacks details like urgency and context.,8.9775596e-05,4,5,4,3,5,4,Trump Undergoes Medical Tests at Walter Reed as Part of Annual Physical,"Comprehensive, clear, and informative with specifics on location and context.",0.00020652267,5,5,5,4,5,5,Trump Undergoes Medical Tests at Walter Reed as Part of Annual Physical,"Identical to zero_shot, maintains high quality across all metrics.",0.00020652267,5,5,5,4,5,5,Trump Undergoes Medical Tests at Walter Reed for Annual Physical,"Clear and specific, but phrasing lacks the annual context implied in the other variants.",0.00014453469,5,5,4,4,5,4,6.409044,4.7088146,0.52792716,4.873452,4.883783,4.729767,4.7917175,6.409044,4.7088146,0.52792716,4.873452,4.883783,4.729767,4.7917175,6.387979,4.7065506,0.48261368,4.8729463,4.884719,4.723256,4.789939,-1,-1,0,0,-1,0,0,-0.02106500000000011,-0.02106500000000011,zero_shot_beats_agentic,specificity
19,health,"In a small study, researchers found that exercising before breakfast led to more fat loss, but not weight loss, than eating beforehand.",zero_shot,original,"The best time to exercise is before breakfast, a new study says",Misleadingly suggests a definitive 'best time' when results are more nuanced.,0.10456466,3,4,2,3,3,3,Study finds pre-breakfast exercise increases fat loss without affecting weight loss,Accurately reflects study findings and is clear and specific.,0.00017534287,5,5,4,4,5,5,Study finds pre-breakfast exercise increases fat loss without affecting weight loss,"Identical to zero_shot, correctly conveys the study's findings.",0.00017534287,5,5,4,4,5,5,Study Finds Morning Exercise More Effective for Fat Loss,More effective for fat loss is vague; doesn't specify it doesn't affect weight.,0.00021112993,4,4,2,4,4,3,6.3418474,4.5803967,0.8112627,4.7775145,4.8160925,4.4637985,4.6390686,6.3418474,4.5803967,0.8112627,4.7775145,4.8160925,4.4637985,4.6390686,6.4483423,4.658763,0.8228848,4.824965,4.856825,4.6045327,4.7164025,-2,-2,-1,-1,-2,0,-1,0.10649490000000039,0.10649490000000039,local_reward_overestimates_agentic,"faithfulness, clarity, specificity, non_clickbait"
20,sports,"The Cincinnati Bengals lost running back Giovani Bernard to a knee injury during the team's Week 10 game against the Baltimore Ravens. Bernard went to the blue tent in the second quarter and the team quickly ruled him out. They then revised it to a doubtful tag before he unexpectedly made his return in the second half. At the time of the injury, the Ravens had a 28-3 lead and Bernard had turned two carries into 10 yards while serving as the...",agentic_selected,optimized,"Giovani Bernard suffers knee injury vs. Ravens, eventually returns",Accurately depicts the injury and recovery while being clear and specific.,0.00010583348,5,5,5,4,5,5,Bengals' Giovani Bernard suffers knee injury during Week 10 game against Ravens,Clearly presents the injury event with specific details.,0.00027728552,5,5,5,4,5,5,Bengals' Giovani Bernard suffers knee injury during Week 10 game against Ravens,Identical to zero_shot; effectively communicates the injury and specifics.,0.00027728552,5,5,5,4,5,5,Cincinnati Bengals' Giovani Bernard Returns After Knee Injury Against Ravens,"Highlights the return aspect, making it more engaging while maintaining specificity and clarity.",9.898959e-05,5,5,5,5,5,5,6.4702597,4.7086673,0.6702874,4.872093,4.867287,4.760122,4.813695,6.4702597,4.7086673,0.6702874,4.872093,4.867287,4.760122,4.813695,6.476571,4.704641,0.69360685,4.8719716,4.870617,4.756279,4.811598,0,0,0,0,0,1,0,0.006311300000000131,0.006311300000000131,tie_or_mixed,
21,lifestyle,"In April of this year student activists called for acknowledgment of inaction regarding racism in Worcester's schools. Last month, Worcester voters took to the polls with their selections for the district's new School Committee. The vote reveals that student activists' calls for change have fallen upon deaf ears. With only one person of color elected, Worcester's schools will continue to be ...",agentic_selected,original,"As I See It: What Worcester's election means for school discipline, representation","The headline mentions school discipline and representation, but lacks a clear focus on the specific outcome of the election.",0.015042855,3,3,2,2,4,3,Worcester's School Committee election shows limited progress on racial representation,Clearly states the outcome of the election and its implications for racial representation.,8.7827015e-05,5,4,4,3,5,4,Worcester's School Committee election shows limited progress on racial representation,"Identical to zero_shot, accurately reflects the election outcomes with a focus on representation.",8.7827015e-05,5,4,4,3,5,4,Worcester Voters Elect One Person of Color to School Committee,"Directly highlights the election of one person of color, making the outcome very clear and specific.",0.00012844751,5,4,5,4,5,5,6.44614,4.670263,0.76580524,4.8474674,4.886293,4.6169806,4.7437043,6.44614,4.670263,0.76580524,4.8474674,4.886293,4.6169806,4.7437043,6.456513,4.6806316,0.759027,4.852068,4.8875427,4.6383176,4.744663,1,1,0,0,1,1,0,0.01037300000000041,0.01037300000000041,agentic_beats_zero_shot,
