seed_id,category,summary,original_headline,original_rationale,original_faithfulness,original_clarity,original_specificity,original_attractiveness,original_non_clickbait,original_overall,generic_sft_headline,generic_sft_rationale,generic_sft_faithfulness,generic_sft_clarity,generic_sft_specificity,generic_sft_attractiveness,generic_sft_non_clickbait,generic_sft_overall,specificity_sft_headline,specificity_sft_rationale,specificity_sft_faithfulness,specificity_sft_clarity,specificity_sft_specificity,specificity_sft_attractiveness,specificity_sft_non_clickbait,specificity_sft_overall,original_clickbait_penalty,original_quality_reward,original_pairwise_reward,original_final_score,original_reference_token_f1,original_summary_support_rate,original_headline_word_count,original_has_specific_signal,generic_sft_clickbait_penalty,generic_sft_quality_reward,generic_sft_pairwise_reward,generic_sft_final_score,generic_sft_reference_token_f1,generic_sft_summary_support_rate,generic_sft_headline_word_count,generic_sft_has_specific_signal,specificity_sft_clickbait_penalty,specificity_sft_quality_reward,specificity_sft_pairwise_reward,specificity_sft_final_score,specificity_sft_reference_token_f1,specificity_sft_summary_support_rate,specificity_sft_headline_word_count,specificity_sft_has_specific_signal,specificity_minus_generic_faithfulness,specificity_minus_original_faithfulness,generic_minus_original_faithfulness,specificity_minus_generic_clarity,specificity_minus_original_clarity,generic_minus_original_clarity,specificity_minus_generic_specificity,specificity_minus_original_specificity,generic_minus_original_specificity,specificity_minus_generic_attractiveness,specificity_minus_original_attractiveness,generic_minus_original_attractiveness,specificity_minus_generic_non_clickbait,specificity_minus_original_non_clickbait,generic_minus_original_non_clickbait,specificity_minus_generic_overall,specificity_minus_original_overall,generic_minus_original_overall,failure_group
11,lifestyle,"It's a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King of Pop.",50+ Amazing Things That Happened in the '50s,The headline is irrelevant to the summary.,1.0,1.0,1.0,1.0,1.0,1.0,"The King of Pop is a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King",The headline is somewhat related but poorly constructed and retains long summary phrasing.,2.0,3.0,3.0,2.0,3.0,2.0,"The King of Pop is a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King","Identical to generic_sft, with the same issues.",2.0,3.0,3.0,2.0,3.0,2.0,0.99997616,2.420284,0.06447468,1.9364147,1.0,0.0,8,True,0.9999676,4.675727,1.1037256,4.4516745,0.0,1.0,22,True,0.9999676,4.675727,1.1037256,4.4516745,0.0,1.0,22,True,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,sft_tie
12,sports,"When Monday's game against the Mavericks was tied at 86-86, one of the five Celtics on the floor wasn't even on an NBA roster last year. Now, that might not be surprising if the Celtics were floundering, but they're not. They're doing just the opposite. Now, there is an opportunity for others to contribute as a result of Gordon Hayward's injury. Even with that being the case, Javonte Green wasn't told by Brad Stevens he might see minutes in a...",Javonte Green didn't expect to play as much as he did vs. Mavericks,This headline accurately reflects the summary about Javonte Green's unexpected gameplay while remaining clear and specific.,5.0,5.0,5.0,4.0,5.0,4.0,"Celtics are doing just the opposite, but they're doing just the opposite",This headline is repetitive and doesn't provide new information about the game or players.,2.0,2.0,1.0,2.0,2.0,1.0,"Celtics are doing just the opposite, but they're doing just the opposite","Identical to the generic variant; it lacks clarity and specificity, making it ineffective.",2.0,2.0,1.0,2.0,2.0,1.0,0.86900187,4.2070227,0.16315123,3.8133094,1.0,0.375,13,True,0.010611527,4.122118,0.1641038,4.1578383,0.0,1.0,12,False,0.010611527,4.122118,0.1641038,4.1578383,0.0,1.0,12,False,0.0,-3.0,-3.0,0.0,-3.0,-3.0,0.0,-4.0,-4.0,0.0,-2.0,-2.0,0.0,-3.0,-3.0,0.0,-3.0,-3.0,original_best_sft_tie
13,travel,Game wardens are investigating a fatal crash involving an all-terrain passenger vehicle in a small town west of Belfast. The wardens say the crash killed 30-year-old Rachel Curtis of Montville in her hometown on Sunday. They say Curtis was a passenger on an ATV that was traveling on a dirt road when it crashed before noon. The warden service says it is working with the district attorney's office to determine if the driver of the ATV will be...,Charges possible after woman dies in ATV crash,"The headline succinctly conveys the key event and potential legal implications, but lacks specific details about the victim.",5.0,5.0,3.0,4.0,5.0,4.0,Game wardens investigating fatal crash in small town west of Belfast,This headline is factually accurate but lacks attention-grabbing elements and a succinct focus on the human aspect of the tragedy.,5.0,4.0,4.0,3.0,5.0,4.0,Game wardens investigating fatal crash in small town west of Belfast,Identical to the generic version; it provides strong factual content but lacks emotional engagement.,5.0,4.0,4.0,3.0,5.0,4.0,8.025222e-05,3.3484468,0.35460377,3.4370577,1.0,0.2857142857142857,8,True,7.3163246e-05,4.6981406,0.97868603,4.9427752,0.125,1.0,11,True,7.3163246e-05,4.6981406,0.97868603,4.9427752,0.125,1.0,11,True,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,sft_tie
14,finance,Critics say Procter & Gamble contributes to deforestation and should use recycled materials for paper products,Environmentalists' new target? Charmin toilet paper,Captures the essence but lacks details on the environmental issue.,4.0,4.0,3.0,3.0,5.0,4.0,Critics say Procter & Gamble contributes to deforestation and should use recycled materials for paper products,Accurate and detailed but less engaging as a headline.,5.0,5.0,5.0,2.0,5.0,4.0,Critics say Procter & Gamble contributes to deforestation and should use recycled materials for paper products,Same as generic_sft; accurately detailed but lacks engaging quality.,5.0,5.0,5.0,2.0,5.0,4.0,7.264664e-05,3.8571327,0.15726379,3.8964124,1.0,0.1666666666666666,6,True,0.00072971743,4.6979427,1.1769032,4.9918036,0.1111111111111111,1.0,15,True,0.00072971743,4.6979427,1.1769032,4.9918036,0.1111111111111111,1.0,15,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,sft_tie
15,news,Plant officials told workers during early shifts less than 12 hours after a proposed tentative contract agreement was announced publicly.,"Ford-UAW deal includes closing Romeo Engine Plant, moving 600 jobs","Directly addresses the main points of the summary, provides specific details about the contract and job impact.",5.0,5.0,4.0,4.0,5.0,5.0,Plant officials tell workers during early shifts less than 12 hours after proposed contract agreement,"Accurate but lacks specific details about the contract's outcomes, making it less engaging.",4.0,5.0,3.0,3.0,5.0,3.0,Plant officials tell workers during early shifts less than 12 hours after proposed contract agreement,Identical to generic_sft with similar strengths and weaknesses.,4.0,5.0,3.0,3.0,5.0,3.0,6.765447e-05,4.14357,0.3471293,4.2303185,1.0,0.0909090909090909,11,True,8.494962e-05,4.7013507,1.0408984,4.961533,0.08,0.9285714285714286,15,True,8.494962e-05,4.7013507,1.0408984,4.961533,0.08,0.9285714285714286,15,True,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,original_best_sft_tie
16,travel,": CELEBS AND KID PARTIESTampa Theatre is shaking up its annual Halloween film festival Nightmare on Franklin Street with two live shows. Catch the popular horror-comedy podcast The Last Podcast on the Left at 8 p.m. Friday. $34.50-$44.50. And Barry Bostwick, the star of The Rocky Horror Picture Show, will give a talk before a screening of the cult classic at 7 p.m. and midnight ...",Top things to do in Tampa Bay this weekend: Oct. 18-20,The headline is too generic and lacks details about the specific events.,2.0,3.0,2.0,2.0,3.0,2.0,CELEBS AND KID PARTIESTampa Theatre is shaking up Halloween film festival Nightmare on Franklin Street,"While it captures the essence, it's a bit vague about the events and lacks engagement.",3.0,4.0,3.0,2.0,4.0,3.0,CELEBS AND KID PARTIESTampa Theatre is shaking up Halloween film festival Nightmare on Franklin Street,"Similar to the generic version, it has clarity but lacks unique details to attract readers.",3.0,4.0,3.0,2.0,4.0,3.0,0.9996277,2.700875,0.07944509,2.2209225,1.0,0.0,12,True,0.9999502,4.707302,1.0649573,4.473566,0.0,1.0,15,True,0.9999502,4.707302,1.0649573,4.473566,0.0,1.0,15,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,sft_tie
17,news,State officials including Republican Gov. Greg Abbott have targeted Austin's left-leaning policies toward homelessness as encampments have grown more prevalent in Texas' capital city.,"Homeless Become More Visible in Austin, Sparking Political Clash",Captures the issue and political tension but lacks specific mention of encampments.,4.0,4.0,3.0,4.0,5.0,4.0,Texas Gov. Greg Abbott targets left-leaning homelessness policies,Directly addresses the core issue with specific reference to Gov. Abbott.,5.0,5.0,5.0,3.0,5.0,5.0,Texas Gov. Greg Abbott targets left-leaning homelessness policies,"Identical to generic_sft, providing a clear and specific statement.",5.0,5.0,5.0,3.0,5.0,5.0,8.295399e-05,3.7001126,0.064128205,3.716103,1.0,0.125,9,True,7.44814e-05,4.703287,1.0264031,4.959851,0.0,0.7777777777777778,9,True,7.44814e-05,4.703287,1.0264031,4.959851,0.0,0.7777777777777778,9,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,sft_tie
18,news,"President Donald Trump was at Walter Reed National Medical Center on Saturday for what the White House said were medical tests as part of his annual physical. The appointment wasn't on his weekend public schedule that was released Friday night, and his last physical was in February. Press secretary Stephanie Grisham said the 73-year-old Trump was ``anticipating a very busy 2020'' and wanted to take advantage of ``a free...",White House: Trump having tests as part of medical checkup,Accurately reports the situation and is clear and engaging.,5.0,5.0,4.0,4.0,5.0,5.0,Donald Trump at Walter Reed National Medical Center for medical tests,Clear but less engaging than the original; also lacks the White House attribution.,5.0,5.0,4.0,3.0,5.0,4.0,Donald Trump at Walter Reed National Medical Center for medical tests,"Identical to generic_sft; thus, it has the same scores.",5.0,5.0,4.0,3.0,5.0,4.0,0.000117346244,4.343567,0.22518657,4.399805,1.0,0.75,10,True,0.00010129729,4.6634455,0.3652057,4.7546964,0.375,1.0,11,True,0.00010129729,4.6634455,0.3652057,4.7546964,0.375,1.0,11,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,original_best_sft_tie
19,health,"In a small study, researchers found that exercising before breakfast led to more fat loss, but not weight loss, than eating beforehand.","The best time to exercise is before breakfast, a new study says",The headline gives a general claim but doesn't specify the study's exact findings about fat loss versus weight loss.,3.0,4.0,3.0,3.0,4.0,3.0,"Exercise before breakfast leads to more fat loss, but not weight loss","Directly states the study's findings clearly and specifically, without exaggeration.",5.0,5.0,5.0,4.0,5.0,5.0,"Exercise before breakfast leads to more fat loss, but not weight loss",Identical to the generic headline with the same strengths in clarity and specificity.,5.0,5.0,5.0,4.0,5.0,5.0,0.00060696277,3.7587187,0.3234586,3.83928,1.0,0.375,12,False,0.00018070321,4.6439013,0.7471119,4.8305893,0.3333333333333332,0.8,12,False,0.00018070321,4.6439013,0.7471119,4.8305893,0.3333333333333332,0.8,12,False,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,sft_tie
20,sports,"The Cincinnati Bengals lost running back Giovani Bernard to a knee injury during the team's Week 10 game against the Baltimore Ravens. Bernard went to the blue tent in the second quarter and the team quickly ruled him out. They then revised it to a doubtful tag before he unexpectedly made his return in the second half. At the time of the injury, the Ravens had a 28-3 lead and Bernard had turned two carries into 10 yards while serving as the...","Giovani Bernard suffers knee injury vs. Ravens, eventually returns",Accurately reflects the event and his return.,5.0,5.0,5.0,4.0,5.0,5.0,Cincinnati Bengals lose running back Giovani Bernard to knee injury,Provides essential information but lacks detail about the return.,4.0,4.0,4.0,3.0,5.0,4.0,Cincinnati Bengals lose running back Giovani Bernard to knee injury,Identical to the generic but lacks diversity in wording.,4.0,4.0,4.0,3.0,5.0,4.0,9.860398e-05,4.6779356,0.5754406,4.821747,1.0,0.625,9,True,8.314937e-05,4.6896853,0.56616545,4.8311853,0.4705882352941176,0.8888888888888888,10,True,8.314937e-05,4.6896853,0.56616545,4.8311853,0.4705882352941176,0.8888888888888888,10,True,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,original_best_sft_tie
21,lifestyle,"In April of this year student activists called for acknowledgment of inaction regarding racism in Worcester's schools. Last month, Worcester voters took to the polls with their selections for the district's new School Committee. The vote reveals that student activists' calls for change have fallen upon deaf ears. With only one person of color elected, Worcester's schools will continue to be ...","As I See It: What Worcester's election means for school discipline, representation",Relevant to the topic but lacks urgency and specifics about the election outcome.,4.0,4.0,3.0,3.0,4.0,4.0,Student activists call for change in Worcester's schools,Accurately reflects the call for change but lacks specificity about the election results.,5.0,5.0,3.0,4.0,5.0,4.0,Student activists call for change in Worcester's schools,"Identical to the generic version, providing a good reflection but not enough detail.",5.0,5.0,3.0,4.0,5.0,4.0,0.0012295804,3.0246305,0.19520943,3.072818,1.0,0.25,12,True,0.00015537137,4.615451,0.7557018,4.8042984,0.1428571428571428,0.8333333333333334,8,True,0.00015537137,4.615451,0.7557018,4.8042984,0.1428571428571428,0.8333333333333334,8,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,sft_tie
22,news,"South Jersey, Group 3 2-Ocean City at 1-Clearview How they got here: Ocean City and Clearivew seem to meet in the sectional final every season, and it's no shock to see both programs back with the years they've both put together. Ocean City continued its impressive play from a year ago, earning wins against Haddonfield and Bishop Eustace to prove itself as one of the state's best. The Red ...","South Jersey, Group 3 final preview: Ocean City at Clearview",Accurately summarizes the matchup while remaining clear and engaging.,5.0,5.0,5.0,4.0,5.0,5.0,"South Jersey, Group 3 2-Ocean City at 1-Clearview",Provides specific details but lacks engagement and is more of a statement.,4.0,4.0,5.0,3.0,5.0,4.0,Ocean City and Clearivew meet in sectional final,Clear and specific but doesn't evoke as much interest; resemblance to a recap.,4.0,4.0,5.0,3.0,5.0,4.0,9.0596295e-05,4.5007954,0.58896714,4.6479917,1.0,0.875,10,True,0.00011011224,4.5369873,0.5011928,4.6622305,0.8571428571428571,1.0,10,True,8.6813e-05,4.5357885,0.6377529,4.6951833,0.4285714285714285,1.0,8,True,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,original_best_sft_tie
23,finance,"Buy Microsoft on weakness to its semiannual value level at $131.71, or buy at Friday's close if the stock is above $138.17, the key weekly moving average. The target is its quarterly risky level at $152.47.",How to Trade Microsoft on Solid Earnings but No New Intraday High,The headline alludes to earnings but doesn't directly state trading advice; it's somewhat vague.,3.0,4.0,3.0,4.0,4.0,3.0,"Microsoft sells its semiannual value at $131.71, or buy at Friday's close if the stock is above $138.17","While it provides specific trading levels, it lacks clarity and isn't engaging.",3.0,3.0,5.0,3.0,5.0,3.0,"Microsoft sells its semiannual value at $131.71, or buy at Friday's close if the stock is above $138.17",Identical to generic_sft; same strengths and weaknesses.,3.0,3.0,5.0,3.0,5.0,3.0,0.00017857313,2.7539485,0.28168592,2.8242807,1.0,0.125,12,True,9.000876e-05,4.696436,0.9755744,4.9402847,0.1,0.9166666666666666,20,True,9.000876e-05,4.696436,0.9755744,4.9402847,0.1,0.9166666666666666,20,True,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,2.0,2.0,0.0,-1.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,sft_tie
