seed_id,candidate_label,variant,candidate_id,candidate_source,category,summary,headline,clickbait_penalty,local_final_score,llm_overall,persona,persona_description,trust,engagement,clarity,audience_fit,overall,rationale,persona_ranking,persona_best_candidate,is_persona_best,consensus_ranking,consensus_best_candidate,is_consensus_best,judge_model,judge_error
1,c1,original,original,human_editor,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,0.999892,4.005561,3.0,busy_news_reader,"Skims quickly and rewards clarity, compactness, and immediate usefulness.",2,3,4,3,3,Not overly clear and focused.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c2,zero_shot,zero_shot,api_zero_shot_generator,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA Astronauts on ISS Face Challenges of Long Spacewalks,0.00010971178,6.432365,5.0,busy_news_reader,"Skims quickly and rewards clarity, compactness, and immediate usefulness.",4,4,5,5,5,Concise and clearly communicates the main point.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,True,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,True,gpt-4o-mini,
1,c3,agentic_selected,agentic_selected,agentic_selector_v3,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA Astronauts Face Challenges During Spacewalks on the ISS,0.00016358134,6.1435165,5.0,busy_news_reader,"Skims quickly and rewards clarity, compactness, and immediate usefulness.",4,3,4,4,4,Good clarity but less engaging.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c4,generic_sft,generic_sft,generic_sft_generator,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA astronauts need to be in good physical condition to make spacewalks,0.0014029072,4.7968044,4.0,busy_news_reader,"Skims quickly and rewards clarity, compactness, and immediate usefulness.",4,2,4,4,3,Informative but too long for skimming.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c5,specificity_sft,specificity_sft,specificity_sft_generator,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.","Spacewalks are hard work, but you need to be in good physical condition to make spacewalks",0.19318032,4.6787696,4.0,busy_news_reader,"Skims quickly and rewards clarity, compactness, and immediate usefulness.",4,2,4,4,3,Repetitive and less focused.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c1,original,original,human_editor,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,0.999892,4.005561,3.0,editorial_reviewer,"Acts like a newsroom editor, balancing newsworthiness, specificity, style, and faithfulness.",2,3,3,3,3,A bit too informal for a serious topic.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c2,zero_shot,zero_shot,api_zero_shot_generator,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA Astronauts on ISS Face Challenges of Long Spacewalks,0.00010971178,6.432365,5.0,editorial_reviewer,"Acts like a newsroom editor, balancing newsworthiness, specificity, style, and faithfulness.",4,5,4,5,5,Strong newsworthy headline that is well-rounded.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,True,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,True,gpt-4o-mini,
1,c3,agentic_selected,agentic_selected,agentic_selector_v3,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA Astronauts Face Challenges During Spacewalks on the ISS,0.00016358134,6.1435165,5.0,editorial_reviewer,"Acts like a newsroom editor, balancing newsworthiness, specificity, style, and faithfulness.",4,4,4,4,4,Good alternative to c2 but less impactful.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c4,generic_sft,generic_sft,generic_sft_generator,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA astronauts need to be in good physical condition to make spacewalks,0.0014029072,4.7968044,4.0,editorial_reviewer,"Acts like a newsroom editor, balancing newsworthiness, specificity, style, and faithfulness.",4,3,5,4,4,Well-stated but less engaging.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c5,specificity_sft,specificity_sft,specificity_sft_generator,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.","Spacewalks are hard work, but you need to be in good physical condition to make spacewalks",0.19318032,4.6787696,4.0,editorial_reviewer,"Acts like a newsroom editor, balancing newsworthiness, specificity, style, and faithfulness.",4,3,5,4,4,Clear but repetitive in wording.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
2,c1,original,original,human_editor,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,0.0002376439,6.380815,5.0,trust_sensitive_reader,"Prioritizes factual accuracy, non-clickbait wording, and whether the headline feels safe to trust.",5,4,5,5,5,Accurate and trustworthy without sensationalism.,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,True,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,True,gpt-4o-mini,
2,c2,zero_shot,zero_shot,api_zero_shot_generator,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Lodi Celebrates International Tempranillo Day with Winery Tour and Tastings,0.000101894075,6.5198545,5.0,trust_sensitive_reader,"Prioritizes factual accuracy, non-clickbait wording, and whether the headline feels safe to trust.",5,4,5,5,5,"Informative and factual, aligns with audience interests.","[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c3,agentic_selected,agentic_selected,agentic_selector_v3,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Lodi Hosts Fourth Annual Tour of Tempranillo This Weekend,0.00014586773,6.503255,5.0,trust_sensitive_reader,"Prioritizes factual accuracy, non-clickbait wording, and whether the headline feels safe to trust.",5,3,5,4,4,Clear but slightly less engaging for the audience.,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c4,generic_sft,generic_sft,generic_sft_generator,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...","Spain's king of red grapes, Tempranillo finds home in Lodi",0.00010266751,4.853476,4.0,trust_sensitive_reader,"Prioritizes factual accuracy, non-clickbait wording, and whether the headline feels safe to trust.",5,3,4,4,4,Interesting but somewhat vague.,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c5,specificity_sft,specificity_sft,specificity_sft_generator,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...","Tempranillo: Spain's king of red grapes, Tempranillo finds home in Lodi",0.00016392846,4.864235,4.0,trust_sensitive_reader,"Prioritizes factual accuracy, non-clickbait wording, and whether the headline feels safe to trust.",5,3,4,4,4,Similar to c4 but slightly less concise.,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c1,original,original,human_editor,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,0.0002376439,6.380815,5.0,growth_reader,Represents user-growth goals: wants a headline that attracts clicks without feeling manipulative.,4,5,4,4,4,"Attractive and engaging, good fit for clicks.","[""c2"", ""c1"", ""c3"", ""c4"", ""c5""]",c2,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,True,gpt-4o-mini,
2,c2,zero_shot,zero_shot,api_zero_shot_generator,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Lodi Celebrates International Tempranillo Day with Winery Tour and Tastings,0.000101894075,6.5198545,5.0,growth_reader,Represents user-growth goals: wants a headline that attracts clicks without feeling manipulative.,4,5,4,5,5,Strong call to action that draws interest.,"[""c2"", ""c1"", ""c3"", ""c4"", ""c5""]",c2,True,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c3,agentic_selected,agentic_selected,agentic_selector_v3,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Lodi Hosts Fourth Annual Tour of Tempranillo This Weekend,0.00014586773,6.503255,5.0,growth_reader,Represents user-growth goals: wants a headline that attracts clicks without feeling manipulative.,4,4,4,4,4,"Clear and straightforward, but less enticing.","[""c2"", ""c1"", ""c3"", ""c4"", ""c5""]",c2,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c4,generic_sft,generic_sft,generic_sft_generator,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...","Spain's king of red grapes, Tempranillo finds home in Lodi",0.00010266751,4.853476,4.0,growth_reader,Represents user-growth goals: wants a headline that attracts clicks without feeling manipulative.,4,3,3,3,3,"Less engaging, lacks immediate context.","[""c2"", ""c1"", ""c3"", ""c4"", ""c5""]",c2,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c5,specificity_sft,specificity_sft,specificity_sft_generator,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...","Tempranillo: Spain's king of red grapes, Tempranillo finds home in Lodi",0.00016392846,4.864235,4.0,growth_reader,Represents user-growth goals: wants a headline that attracts clicks without feeling manipulative.,4,3,3,3,3,"Similar issues as c4, less impactful.","[""c2"", ""c1"", ""c3"", ""c4"", ""c5""]",c2,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c1,original,original,human_editor,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,0.0002376439,6.380815,5.0,busy_news_reader,"Skims quickly and rewards clarity, compactness, and immediate usefulness.",4,3,5,5,4,Concise and easy to understand.,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,True,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,True,gpt-4o-mini,
2,c2,zero_shot,zero_shot,api_zero_shot_generator,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Lodi Celebrates International Tempranillo Day with Winery Tour and Tastings,0.000101894075,6.5198545,5.0,busy_news_reader,"Skims quickly and rewards clarity, compactness, and immediate usefulness.",4,3,5,5,4,Clear but could be shorter.,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c3,agentic_selected,agentic_selected,agentic_selector_v3,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Lodi Hosts Fourth Annual Tour of Tempranillo This Weekend,0.00014586773,6.503255,5.0,busy_news_reader,"Skims quickly and rewards clarity, compactness, and immediate usefulness.",4,4,5,4,4,Very clear and compact.,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c4,generic_sft,generic_sft,generic_sft_generator,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...","Spain's king of red grapes, Tempranillo finds home in Lodi",0.00010266751,4.853476,4.0,busy_news_reader,"Skims quickly and rewards clarity, compactness, and immediate usefulness.",4,3,3,2,3,Less clear and not immediately useful.,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c5,specificity_sft,specificity_sft,specificity_sft_generator,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...","Tempranillo: Spain's king of red grapes, Tempranillo finds home in Lodi",0.00016392846,4.864235,4.0,busy_news_reader,"Skims quickly and rewards clarity, compactness, and immediate usefulness.",4,2,3,2,2,"Similar issues as c4, not suitable for quick skimming.","[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c1,original,original,human_editor,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,0.0002376439,6.380815,5.0,editorial_reviewer,"Acts like a newsroom editor, balancing newsworthiness, specificity, style, and faithfulness.",5,4,5,5,5,Well-rounded headline that covers key aspects.,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,True,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,True,gpt-4o-mini,
2,c2,zero_shot,zero_shot,api_zero_shot_generator,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Lodi Celebrates International Tempranillo Day with Winery Tour and Tastings,0.000101894075,6.5198545,5.0,editorial_reviewer,"Acts like a newsroom editor, balancing newsworthiness, specificity, style, and faithfulness.",5,4,5,5,5,Strong headline with good specificity.,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c3,agentic_selected,agentic_selected,agentic_selector_v3,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Lodi Hosts Fourth Annual Tour of Tempranillo This Weekend,0.00014586773,6.503255,5.0,editorial_reviewer,"Acts like a newsroom editor, balancing newsworthiness, specificity, style, and faithfulness.",5,3,5,4,4,Very clear but less appealing.,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
2,c4,generic_sft,generic_sft,generic_sft_generator,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...","Spain's king of red grapes, Tempranillo finds home in Lodi",0.00010266751,4.853476,4.0,editorial_reviewer,"Acts like a newsroom editor, balancing newsworthiness, specificity, style, and faithfulness.",5,3,4,4,4,Interesting angle but less specific.,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,"[""c1"", ""c2"", ""c3"", ""c4"", ""c5""]",c1,False,gpt-4o-mini,
