seed_id,nid,news_id,category,summary,variant,headline,clickbait_penalty,faithfulness,clarity,specificity,attractiveness,non_clickbait,overall,rationale,ranking,best_variant,worst_variant,judge_model,judge_error,nid_existing,news_id_existing,category_existing,summary_existing,headline_existing,clickbait_penalty_existing
3,24888,N27810,travel,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",agentic_selected,The Evolution of Roller Coasters: Adrenaline and Innovation,0.041612476,3.0,4.0,4.0,4.0,4.0,4.0,"Offers a broader view of roller coasters, emphasizing evolution and innovation.","[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,24888.0,N27810,travel,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",The Evolution of Roller Coasters: Adrenaline and Innovation,0.041612476
4,50407,N13403,sports,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",original,We always believe': Win over 49ers proves Seattle Seahawks' mindset is more than just lip service,0.00024787133,5,5,5,4,5,5,Captures the essence of the Seahawks' mindset and the significance of the win.,"[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,agentic_selected,gpt-4o-mini,,,,,,,
4,50407,N13403,sports,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",zero_shot,Seattle Seahawks Defeat Unbeaten 49ers in a Thrilling Comeback Victory,0.000104054656,5,5,5,5,5,5,Clear and exciting headline that accurately reflects the outcome of the game.,"[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,agentic_selected,gpt-4o-mini,,,,,,,
4,50407,N13403,sports,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",optimized,Seattle Seahawks Defeat Unbeaten 49ers in a Thrilling Comeback Victory,0.000104054656,5,5,5,5,5,5,Identical to zero_shot with similar merits; both effectively convey the win's excitement.,"[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,agentic_selected,gpt-4o-mini,,,,,,,
4,50407,N13403,sports,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",agentic_selected,Mike Jones Reports Seahawks' Impressive Win Over 49ers,9.529117e-05,4,5,4,4,5,4,Communicates the report aspect well but lacks the emotional intensity of the win.,"[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,agentic_selected,gpt-4o-mini,,,,,,,
5,42378,N7244,sports,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,original,Depth charts: Projected starters for Iowa State vs. No. 23 Texas,0.00015676547,5,5,5,4,5,5,Accurately presents the matchup and specifics about the teams.,"[""original"", ""zero_shot"", ""optimized"", ""agentic_selected""]",original,agentic_selected,gpt-4o-mini,,,,,,,
5,42378,N7244,sports,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,zero_shot,Cyclones and Longhorns Announce Starters for 2019 Big 12 Matchup,9.932373e-05,5,5,5,4,5,5,"Clearly states the teams and the event, accurately reflecting the summary.","[""original"", ""zero_shot"", ""optimized"", ""agentic_selected""]",original,agentic_selected,gpt-4o-mini,,,,,,,
5,42378,N7244,sports,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,optimized,Cyclones and Longhorns Announce Starters for 2019 Big 12 Matchup,9.932373e-05,5,5,5,4,5,5,"Identical to zero_shot, maintains clarity and accuracy in presentation.","[""original"", ""zero_shot"", ""optimized"", ""agentic_selected""]",original,agentic_selected,gpt-4o-mini,,,,,,,
5,42378,N7244,sports,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,agentic_selected,Cyclones and Longhorns Announce Starters for Big 12 Matchup,8.735201e-05,4,5,4,4,5,4,"Lacks specificity in year mentioned, making it slightly less faithful.","[""original"", ""zero_shot"", ""optimized"", ""agentic_selected""]",original,agentic_selected,gpt-4o-mini,,,,,,,
6,63352,N1369,health,A local airman returned home to the Miami Valley on Friday and was greeted by dozens of family and friends.,original,Local Airman returns from 6 Months in Afghanistan,8.4165215e-05,5,5,4,4,5,4,Faithful to the return but lacks detail on the homecoming.,"[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
6,63352,N1369,health,A local airman returned home to the Miami Valley on Friday and was greeted by dozens of family and friends.,zero_shot,Local airman returns home to Miami Valley to warm welcome from family and friends,9.9395744e-05,5,5,5,5,5,5,"Comprehensive and engaging, highlights the warm welcome.","[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
6,63352,N1369,health,A local airman returned home to the Miami Valley on Friday and was greeted by dozens of family and friends.,optimized,Local airman returns home to Miami Valley to warm welcome from family and friends,9.9395744e-05,5,5,5,5,5,5,"Identical to zero_shot, equally effective.","[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
6,63352,N1369,health,A local airman returned home to the Miami Valley on Friday and was greeted by dozens of family and friends.,agentic_selected,Local Airman Welcomed Home by Family and Friends in Miami Valley,0.0001501459,5,5,5,4,5,4,"Well-written, but slightly less engaging than the top two.","[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
7,29280,N3913,news,"Students at Hartford's new Weaver campus are working to erase stark lines dividing the building's two school communities, the public school drawing students from the neighborhoods and the magnet arts school that mostly serves the suburbs. Working with staff and administrators, they're trying to counteract some of the unintended consequences of relocating and reorganizing three high schools ...",original,"Hartford's Weaver forging a new identity at campus shared by public, magnet students",0.00013871057,5,5,5,4,5,5,Accurately captures the effort of students and the context of the school community.,"[""original"", ""zero_shot"", ""optimized"", ""agentic_selected""]",original,agentic_selected,gpt-4o-mini,,,,,,,
7,29280,N3913,news,"Students at Hartford's new Weaver campus are working to erase stark lines dividing the building's two school communities, the public school drawing students from the neighborhoods and the magnet arts school that mostly serves the suburbs. Working with staff and administrators, they're trying to counteract some of the unintended consequences of relocating and reorganizing three high schools ...",zero_shot,Students at Hartford's Weaver campus aim to unite two school communities,0.0004026215,5,5,5,4,5,5,Directly conveys the students' goals without embellishment.,"[""original"", ""zero_shot"", ""optimized"", ""agentic_selected""]",original,agentic_selected,gpt-4o-mini,,,,,,,
7,29280,N3913,news,"Students at Hartford's new Weaver campus are working to erase stark lines dividing the building's two school communities, the public school drawing students from the neighborhoods and the magnet arts school that mostly serves the suburbs. Working with staff and administrators, they're trying to counteract some of the unintended consequences of relocating and reorganizing three high schools ...",optimized,Students at Hartford's Weaver campus aim to unite two school communities,0.0004026215,5,5,5,4,5,5,"Similar to the zero_shot headline, clear and accurate.","[""original"", ""zero_shot"", ""optimized"", ""agentic_selected""]",original,agentic_selected,gpt-4o-mini,,,,,,,
7,29280,N3913,news,"Students at Hartford's new Weaver campus are working to erase stark lines dividing the building's two school communities, the public school drawing students from the neighborhoods and the magnet arts school that mostly serves the suburbs. Working with staff and administrators, they're trying to counteract some of the unintended consequences of relocating and reorganizing three high schools ...",agentic_selected,Weaver Campus Students Work to Integrate Two School Communities,0.0002026644,5,5,5,4,5,5,Highlights student agency while accurately depicting the situation.,"[""original"", ""zero_shot"", ""optimized"", ""agentic_selected""]",original,agentic_selected,gpt-4o-mini,,,,,,,
8,13158,N36369,sports,"Considering that Domingue is slated to be an unrestricted free agent this summer, finding an opportunity to play regularly (even if it isn't necessarily at the NHL level to start with) would be ideal.",original,Louis Domingue changes agents amid attempt to play at NHL level again,7.878077e-05,2,4,3,3,4,3,"The headline introduces a new detail about changing agents, which is not in the summary.","[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
8,13158,N36369,sports,"Considering that Domingue is slated to be an unrestricted free agent this summer, finding an opportunity to play regularly (even if it isn't necessarily at the NHL level to start with) would be ideal.",zero_shot,Domingue Seeks Regular Playing Opportunity Ahead of Free Agency,0.00010380669,4,5,4,4,5,4,This headline captures the essence of the summary without adding unsupported details.,"[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
8,13158,N36369,sports,"Considering that Domingue is slated to be an unrestricted free agent this summer, finding an opportunity to play regularly (even if it isn't necessarily at the NHL level to start with) would be ideal.",optimized,Domingue Seeks Regular Playing Opportunity Ahead of Free Agency,0.00010380669,4,5,4,4,5,4,Same as zero_shot; effectively communicates the intent without extraneous information.,"[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
8,13158,N36369,sports,"Considering that Domingue is slated to be an unrestricted free agent this summer, finding an opportunity to play regularly (even if it isn't necessarily at the NHL level to start with) would be ideal.",agentic_selected,Domingue Seeks Regular Playing Opportunity Before Free Agency,0.00010918472,4,5,4,4,5,4,Variation of zero_shot; maintains fidelity to the summary.,"[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
9,5749,N61058,news,A driver was fatally shot in St. Paul on Sunday night and police are searching for the person responsible.,original,Driver dies after being shot in St. Paul's Summit-U area,7.788159e-05,5,5,4,4,5,4,"Accurate and clear, but vague about the time and nature of the incident.","[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,agentic_selected,gpt-4o-mini,,,,,,,
9,5749,N61058,news,A driver was fatally shot in St. Paul on Sunday night and police are searching for the person responsible.,zero_shot,"Driver Fatally Shot in St. Paul, Police Investigate Incident",7.709433e-05,5,5,5,4,5,5,Covers all key elements with clarity and precision.,"[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,agentic_selected,gpt-4o-mini,,,,,,,
9,5749,N61058,news,A driver was fatally shot in St. Paul on Sunday night and police are searching for the person responsible.,optimized,"Driver Fatally Shot in St. Paul, Police Investigate Incident",7.709433e-05,5,5,5,4,5,5,Identical to zero_shot and maintains high quality across all dimensions.,"[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,agentic_selected,gpt-4o-mini,,,,,,,
9,5749,N61058,news,A driver was fatally shot in St. Paul on Sunday night and police are searching for the person responsible.,agentic_selected,Driver Fatally Shot in St. Paul on Sunday Night,0.00010662867,5,5,4,4,5,4,Includes specific time but lacks detail about the incident's impact.,"[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,agentic_selected,gpt-4o-mini,,,,,,,
10,37719,N1117,sports,The playoffs begin next week across Oklahoma. Here is a complete list of the first-round playoff pairings for each class. Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owasso Tulsa Union at Broken Arrow Class 6A-II Sapulpa at Stillwater Choctaw at Muskogee Midwest City at Bixby Tulsa Washington at Del City Class 5A Woodward at Noble Tulsa Kelley at Collinsville Pryor ...,original,High school football: First-round playoff pairings,0.00012095628,5,5,2,4,5,4,Clear and concise but lacks specificity about Oklahoma.,"[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,original,gpt-4o-mini,,,,,,,
10,37719,N1117,sports,The playoffs begin next week across Oklahoma. Here is a complete list of the first-round playoff pairings for each class. Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owasso Tulsa Union at Broken Arrow Class 6A-II Sapulpa at Stillwater Choctaw at Muskogee Midwest City at Bixby Tulsa Washington at Del City Class 5A Woodward at Noble Tulsa Kelley at Collinsville Pryor ...,zero_shot,Oklahoma Playoffs Begin Next Week with First-Round Pairings Announced,7.280593e-05,5,5,4,5,5,5,"Accurate, clear, specific and engaging.","[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,original,gpt-4o-mini,,,,,,,
10,37719,N1117,sports,The playoffs begin next week across Oklahoma. Here is a complete list of the first-round playoff pairings for each class. Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owasso Tulsa Union at Broken Arrow Class 6A-II Sapulpa at Stillwater Choctaw at Muskogee Midwest City at Bixby Tulsa Washington at Del City Class 5A Woodward at Noble Tulsa Kelley at Collinsville Pryor ...,optimized,Oklahoma Playoffs Begin Next Week with First-Round Pairings Announced,7.280593e-05,5,5,4,5,5,5,Identical to zero_shot; well-rounded and engaging.,"[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,original,gpt-4o-mini,,,,,,,
10,37719,N1117,sports,The playoffs begin next week across Oklahoma. Here is a complete list of the first-round playoff pairings for each class. Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owasso Tulsa Union at Broken Arrow Class 6A-II Sapulpa at Stillwater Choctaw at Muskogee Midwest City at Bixby Tulsa Washington at Del City Class 5A Woodward at Noble Tulsa Kelley at Collinsville Pryor ...,agentic_selected,Complete First-Round Playoff Pairings for Oklahoma Classes Released,0.00013699938,5,5,4,4,5,4,"Good clarity and specificity, but slightly less attractive.","[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,original,gpt-4o-mini,,,,,,,
11,8696,N50539,lifestyle,"It's a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King of Pop.",original,50+ Amazing Things That Happened in the '50s,0.99997616,1,1,1,1,1,1,Inaccurate and irrelevant to the summary.,"[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
11,8696,N50539,lifestyle,"It's a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King of Pop.",zero_shot,"Decade Features Multiple Princesses, New Queen, King, and Future King of Pop",0.637875,5,5,5,4,5,5,Accurately captures key figures and events from the summary.,"[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
11,8696,N50539,lifestyle,"It's a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King of Pop.",optimized,"Decade Includes Several Princesses, New Queen, and Future King of Pop",0.39722496,5,5,4,4,5,4,Good summary but slightly less specific.,"[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
11,8696,N50539,lifestyle,"It's a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King of Pop.",agentic_selected,"A Decade of Princesses, New Queen, and Future King of Pop",0.026697537,5,5,4,4,5,4,"Strong summary, engaging but generically worded.","[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
12,41048,N38458,sports,"When Monday's game against the Mavericks was tied at 86-86, one of the five Celtics on the floor wasn't even on an NBA roster last year. Now, that might not be surprising if the Celtics were floundering, but they're not. They're doing just the opposite. Now, there is an opportunity for others to contribute as a result of Gordon Hayward's injury. Even with that being the case, Javonte Green wasn't told by Brad Stevens he might see minutes in a...",original,Javonte Green didn't expect to play as much as he did vs. Mavericks,0.86900187,4,4,4,3,5,4,Highlights Green's unexpected play but lacks emphasis on the team's context.,"[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
12,41048,N38458,sports,"When Monday's game against the Mavericks was tied at 86-86, one of the five Celtics on the floor wasn't even on an NBA roster last year. Now, that might not be surprising if the Celtics were floundering, but they're not. They're doing just the opposite. Now, there is an opportunity for others to contribute as a result of Gordon Hayward's injury. Even with that being the case, Javonte Green wasn't told by Brad Stevens he might see minutes in a...",zero_shot,Celtics' Javonte Green steps up during close game after Hayward's injury,9.95835e-05,5,5,5,4,5,5,Clearly communicates Green's role and the impact of Hayward's injury.,"[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
12,41048,N38458,sports,"When Monday's game against the Mavericks was tied at 86-86, one of the five Celtics on the floor wasn't even on an NBA roster last year. Now, that might not be surprising if the Celtics were floundering, but they're not. They're doing just the opposite. Now, there is an opportunity for others to contribute as a result of Gordon Hayward's injury. Even with that being the case, Javonte Green wasn't told by Brad Stevens he might see minutes in a...",optimized,Celtics' Javonte Green steps up during close game after Hayward's injury,9.95835e-05,5,5,5,4,5,5,Identical to zero_shot and effectively conveys the essential details.,"[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
12,41048,N38458,sports,"When Monday's game against the Mavericks was tied at 86-86, one of the five Celtics on the floor wasn't even on an NBA roster last year. Now, that might not be surprising if the Celtics were floundering, but they're not. They're doing just the opposite. Now, there is an opportunity for others to contribute as a result of Gordon Hayward's injury. Even with that being the case, Javonte Green wasn't told by Brad Stevens he might see minutes in a...",agentic_selected,Celtics' Javonte Green Steps Up Amid Gordon Hayward's Injury,8.747305e-05,5,4,5,4,5,4,Conveys key details well but slightly less clear due to capitalization.,"[""zero_shot"", ""optimized"", ""agentic_selected"", ""original""]",zero_shot,original,gpt-4o-mini,,,,,,,
13,55398,N31239,travel,Game wardens are investigating a fatal crash involving an all-terrain passenger vehicle in a small town west of Belfast. The wardens say the crash killed 30-year-old Rachel Curtis of Montville in her hometown on Sunday. They say Curtis was a passenger on an ATV that was traveling on a dirt road when it crashed before noon. The warden service says it is working with the district attorney's office to determine if the driver of the ATV will be...,original,Charges possible after woman dies in ATV crash,8.025222e-05,4,4,3,4,4,4,Captures the main event but lacks specifics about the victim and location.,"[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,agentic_selected,gpt-4o-mini,,,,,,,
13,55398,N31239,travel,Game wardens are investigating a fatal crash involving an all-terrain passenger vehicle in a small town west of Belfast. The wardens say the crash killed 30-year-old Rachel Curtis of Montville in her hometown on Sunday. They say Curtis was a passenger on an ATV that was traveling on a dirt road when it crashed before noon. The warden service says it is working with the district attorney's office to determine if the driver of the ATV will be...,zero_shot,"Game wardens investigate fatal ATV crash in Montville, killing 30-year-old Rachel Curtis",0.000109494475,5,5,5,5,5,5,Thoroughly details the incident and includes key information about the victim and location.,"[""zero_shot"", ""optimized"", ""original"", ""agentic_selected""]",zero_shot,agentic_selected,gpt-4o-mini,,,,,,,
